time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,0,0,0,0
2026-06-13 00:00:00+00:00,0,0,0,0
2026-06-14 00:00:00+00:00,0,0,0,0
2026-06-15 00:00:00+00:00,0,0,0,0
2026-06-16 00:00:00+00:00,0,0,0,0
2026-06-17 00:00:00+00:00,0,0,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,0,0,0,0
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,43,30,0,0
2026-06-22 00:00:00+00:00,135,63,2,2
2026-06-23 00:00:00+00:00,212,82,1,1
2026-06-24 00:00:00+00:00,113,49,11,1
2026-06-25 00:00:00+00:00,125,51,29,4
2026-06-26 00:00:00+00:00,123,56,3,3
2026-06-27 00:00:00+00:00,427,151,3,2
2026-06-28 00:00:00+00:00,87,39,0,0
2026-06-29 00:00:00+00:00,125,48,1,1
2026-06-30 00:00:00+00:00,36,16,2,1
2026-07-01 00:00:00+00:00,44,20,0,0
2026-07-02 00:00:00+00:00,313,102,1,1
2026-07-03 00:00:00+00:00,74,32,2,2
2026-07-04 00:00:00+00:00,12,7,0,0
2026-07-05 00:00:00+00:00,31,12,2,1
2026-07-06 00:00:00+00:00,2,2,1,1
2026-07-07 00:00:00+00:00,18,9,1,1
2026-07-08 00:00:00+00:00,5,5,1,1
2026-07-09 00:00:00+00:00,18,6,1,1
2026-07-10 00:00:00+00:00,4,3,3,1
2026-07-11 00:00:00+00:00,17,4,0,0
2026-07-12 00:00:00+00:00,3,3,3,1
2026-07-13 00:00:00+00:00,20,8,2,1
2026-07-14 00:00:00+00:00,30,15,0,0
2026-07-15 00:00:00+00:00,12,4,4,1
2026-07-16 00:00:00+00:00,2,2,0,0
2026-07-17 00:00:00+00:00,2,2,0,0
2026-07-18 00:00:00+00:00,3,3,0,0
2026-07-19 00:00:00+00:00,2,2,0,0
2026-07-20 00:00:00+00:00,16,7,0,0
2026-07-21 00:00:00+00:00,4,4,0,0
2026-07-22 00:00:00+00:00,2,2,1,1
2026-07-23 00:00:00+00:00,9,4,1,1
2026-07-24 00:00:00+00:00,3,3,0,0
2026-07-25 00:00:00+00:00,2,2,1,1
2026-07-26 00:00:00+00:00,17,8,6,2
2026-07-27 00:00:00+00:00,3,3,0,0
2026-07-28 00:00:00+00:00,2,2,0,0
2026-07-29 00:00:00+00:00,2,2,0,0
2026-07-30 00:00:00+00:00,2,2,0,0
2026-07-31 00:00:00+00:00,2,2,0,0
2026-08-01 00:00:00+00:00,4,3,0,0
2026-08-02 00:00:00+00:00,17,12,13,1
2026-08-03 00:00:00+00:00,31,17,0,0
2026-08-04 00:00:00+00:00,4,4,0,0
2026-08-05 00:00:00+00:00,5,4,0,0
2026-08-06 00:00:00+00:00,2,2,0,0
2026-08-07 00:00:00+00:00,3,3,0,0
2026-08-08 00:00:00+00:00,2,2,0,0
2026-08-09 00:00:00+00:00,4,3,0,0
2026-08-10 00:00:00+00:00,2,2,6,1
2026-08-11 00:00:00+00:00,2,2,3,1
2026-08-12 00:00:00+00:00,271,170,1,1
2026-08-13 00:00:00+00:00,151,102,0,0
2026-08-14 00:00:00+00:00,2,2,0,0
2026-08-15 00:00:00+00:00,255,197,0,0
2026-08-16 00:00:00+00:00,25,12,2,2
2026-08-17 00:00:00+00:00,2,2,0,0
2026-08-18 00:00:00+00:00,9,4,0,0
2026-08-19 00:00:00+00:00,2,2,0,0
2026-08-20 00:00:00+00:00,4,3,0,0
2026-08-21 00:00:00+00:00,14,7,0,0
